Input,Output
"ô_hay , mẹ_con nó đi đâu cả rồi",ô_hay mẹ_con đâu
thanh này ngắn hơn thanh kia,thanh này thanh kia ngắn hơn
cuốn truyện này không hay,cuốn truyện này hay không
Ánh ra sông chiều_hôm qua,chiều_hôm qua Ánh ra sông
ở đây mà làm hồ bơi thì tuyệt,ở đây hồ bơi làm tuyệt
ông ấy làm_việc liên_tục suốt từ sáng đến chiều,ông ấy làm_việc sáng chiều liên_tục
nó thích là kẹo chanh,kẹo chanh nó thích
họ đã bảo mà,họ bảo đã
quyển sách này,quyển sách này
thích ăn,ăn thích
phen này thì_phải biết,phen này thì_phải biết
mạt_sát không phải là phê_bình,mạt_sát không phải phê_bình
sáng vác tối vác thì ai mà chả chán,vác sáng vác tối chán
thời_đại biến_đổi thì văn_học cũng biến_đổi,thời_đại biến_đổi văn_học biến_đổi
nói vừa đủ,nói đủ vừa
xin các bạn giữ trật_tự,xin bạn trật_tự
"trong thì ấm , ngoài thì êm",trong ấm ngoài êm
ở đây chúng_ta làm_việc 5 ngày 1 tuần,ở đây chúng_ta làm_việc tuần 1 ngày 5
ngọn đèn khi tỏ khi mờ,đèn khi tỏ khi mờ
con đã cất áo_quần vào chưa,con áo_quần cất chưa
Cụ Tú đã bạc hết cả tóc rồi,Cụ Tú tóc bạc hết
tôi không tiêu tiền_của ông Ba,tôi ông Ba tiêu tiền_của không
cuộc họp hoãn lại một tuần hay nửa tháng,họp hoãn một tuần hay nửa tháng
"không ai nói_gì , mọi người lảng dần ra",ai nói_gì không mọi người lảng dần
đại_bác ùng_oàng suốt đêm,đại_bác ùng_oàng suốt đêm
"chó treo , mèo đậy",chó treo mèo đậy
văn có hay tác_phẩm mới có giá_trị,văn có tác_phẩm giá_trị có
tôi cấm nó rồi,tôi nó cấm
"của_đáng_tội , nó có biết gì đâu",của_đáng_tội nó biết gì
không ai nói_gì nhưng mọi người lảng dần ra,ai nói_gì không nhưng mọi người lảng dần
thế có khổ không,thế khổ có
"vào một buổi chiều hè , Ánh ra sông",vào một chiều hè Ánh sông ra
gây ra chuyện này không phải là tôi,gây chuyện này tôi không phải
cuốn sách đặt trên tập nhạc,tập nhạc cuốn sách trên
đoạn này tôi thấy không ổn,tôi đoạn này thấy không ổn
có đau không,đau có
sách có hay thì người_ta mới thích đọc,sách hay có người_ta đọc thích
Nam có_thể trúng_cử đấy,Nam trúng_cử có_thể
trong có ấm thì ngoài mới có êm,trong ấm thì ngoài êm
nó cố_ý làm hỏng cái máy thật,nó máy làm hỏng cố_ý
trời mà mưa thì_sao,mưa thì_sao
đề_nghị các đồng_chí yên_lặng,đồng_chí đề_nghị yên_lặng
anh này lại say_khướt rồi,anh này say_khướt rồi
em tôi thích nhất kẹo chanh,em tôi kẹo chanh thích
có những mười người vắng_mặt,có người mười vắng_mặt
tôi xin cảm_ơn,tôi cảm_ơn
khi tàu chạy thì về,tàu chạy thì về
con Cún người_ta bắt mất rồi,cún người_ta bắt rồi
thế_gian được vợ hỏng chồng,thế_gian vợ được chồng hỏng
"những chiếc ô_tô chạy đi , chạy lại như những con_thoi , máy_bay_phản_lực rít ào_ào và len_lỏi giữa tất_cả những ô_tô , máy_bay ấy có một chiếc xe_đạp ba bánh",ô_tô chạy đi chạy như con_thoi máy_bay_phản_lực rít và len_lỏi máy_bay chiếc xe_đạp ba bánh có
"nhà_nước của chúng_ta thật_sự dân_chủ , vì nhà_nước đó thực_sự là của dân , sứ_mạng lịch_sử của nó là huy_động lực_lượng của nhân_dân để xây_dựng xã_hội mới , đời_sống mới , con_người mới",nhà_nước dân_chủ nhà_nước của dân lực_lượng nhân_dân huy_động xã_hội mới xây_dựng đời_sống mới con_người mới
Nam đóng bàn,Nam bàn đóng
cháu bé gầy_yếu quá,bé gầy_yếu
"vườn rộng rào thưa , khó duổi gà",vườn rộng rào thưa gà khó duổi
"anh có biết ông ấy không , ông Văn ấy mà",anh ông ấy biết Văn
mình đi xe_lửa hay máy_bay,xe_lửa hay máy_bay mình đi
thế_thì có khổ cho tôi không,thế_thì tôi khổ
không ai nói_gì nên mọi người lảng dần ra,ai nói_gì không nên mọi người lảng dần
thằng bé nhìn con hổ,thằng bé hổ nhìn
Nam sẽ trúng_cử một_cách chắc_chắn,Nam trúng_cử chắc_chắn
thế_thì có khổ cho tôi không,thế_thì tôi khổ
cần gì thì nói ngay đi,cần thì nói
Nam đã trúng_cử,Nam trúng_cử đã
tôi xin gửi các bạn lời chào thân_ái,tôi bạn gửi lời chào thân_ái
cô bé nhà bên ai_ngờ cũng là du_kích,cô bé nhà bên ai_ngờ là du_kích
"ôi_chao , những việc_làm mở_đường , tạo lối đi cho kẻ đến sau bao_giờ cũng nghiêm_trang và khó_nhọc",việc_làm mở_đường lối đi tạo cho kẻ đến sau bao_giờ nghiêm_trang và khó_nhọc
con muốn ăn đòn phải không,con đòn muốn
"rẻ thì_có rẻ , nhưng không đẹp",rẻ thì_có rẻ nhưng đẹp không
chưa nói đã cười là người vô_duyên,nói chưa cười đã người vô_duyên
làm như_thế cũng được chứ sao,làm như_thế được chứ sao
cái này bao_nhiêu tiền,cái này tiền bao_nhiêu
lỗi này tại ai thì tôi không biết,lỗi này tại ai tôi không biết
chồng tạp_chí ở trên cuốn Chí_Phèo,tạp_chí trên cuốn Chí_Phèo
khi tàu chạy về,khi tàu về
trong có ấm thì ngoài mới có êm,trong ấm thì ngoài êm
một cái tát rất kêu,một tát rất kêu
nó cố_ý làm hỏng cái máy thật,nó máy làm hỏng cố_ý
trong có ấm thì ngoài mới có êm,trong ấm thì ngoài êm
giếng này nước trong,giếng này nước trong
"anh có biết ông ấy không , ông Văn ấy mà",anh ông ấy biết Văn
"sau trúc , ô_kìa",trúc sau ô_kìa
"vì không đọc kỹ đề , nó đã làm hỏng mất bài tập_làm_văn",đề đọc kỹ không nó tập_làm_văn hỏng
vì_thế là nhiều đối_với cháu,vì_thế đối_với cháu nhiều
lại muốn vòi tiền nữa chứ gì,muốn tiền chứ gì
lắm thầy rầy ma,thầy lắm ma rầy
mọi người đứng_dậy ư,mọi người đứng_dậy
gà của ông Tư chết mất hai con,ông Tư gà hai chết
từ xóm bên bốc lên một cột khối,xóm bên cột khối bốc lên
Nam sẽ trúng_cử đó là một điều chắc_chắn,Nam trúng_cử là điều chắc_chắn
cần bao_nhiêu cũng có,cần bao_nhiêu cũng có
anh_em ở đây không_ít_thì_nhiều đều có đóng_góp,anh_em ở đây không_ít_thì_nhiều đóng_góp có
Lương bật đèn_pin nhìn đồng_hồ tay : hai giơ rưỡi sáng,Lương đèn_pin bật đồng_hồ tay nhìn giờ hai rưỡi sáng
"mọi người đi trước cả rồi , còn tôi thì tôi sẽ đi_sau","mọi người đi rồi , tôi đi_sau sẽ"
em ơi buồn làm_chi,em buồn làm_chi
"ở đây lúc này , trời nóng quá",ở đây lúc này nóng quá
hai người gặp nhau lần cuối_cùng là ở Yên_Bái,ở Yên_Bái hai người lần cuối_cùng gặp
công_việc đang bộn_bề,công_việc bộn_bề
anh đánh đàn cho tôi nghe,anh đàn đánh tôi nghe
"gió thổi , mây bay",thổi gió bay mây
no gì mà no,no gì mà no
tôi cấm anh,tôi anh cấm
nó làm rách cái màn mất rồi,nó cái màn làm rách
hôm_qua và hôm_kia thì họ đi bộ,hôm_qua và hôm_kia họ bộ đi
"ao sâu nước cả , khôn chài cá",ao nước sâu khôn chài cá
nó hỏng kì thi này vì môn toán,nó toán thi hỏng
"cải chửa ra cây , cà mới nụ",cải cây chửa ra cà nụ mới
hình_như anh sốt ruột,hình_như anh sốt ruột
thế hai bác đã đặt tên cháu chưa,hai bác tên cháu đặt chưa
Nam tặng em bé kẹo hay nước_hoa,kẹo hay nước_hoa bé Nam tặng
bỏ xuống đây,bỏ xuống đây
bao_giờ đỗ trạng cũng được vinh_quy,bao_giờ đỗ trạng vinh_quy được
họ gặp nhau lần cuối là ở Tây_Bắc cơ,lần cuối họ gặp là ở Tây_Bắc
"anh Đức này , anh lấy tôi làm vợ nhé",anh Đức anh tôi lấy làm vợ
gió đánh cành tre,cành tre gió đánh
"cái Tý hai hàng nước_mắt ròng_ròng , hôn_hít các em một lượt , rồi lủi_thủi , nó đội mê nón trên đầu và cắp gói áo vào nách",Tý nước_mắt ròng_ròng em hôn_hít nón đội mê trên đầu gói áo vào nách cắp
"con tôi đứa thì đi làm , đứa thì đi học",con tôi đứa làm đứa học
con chó chạy ngoài sân,ngoài sân chó chạy
sao anh lại nói thế,anh nói sao
"từ bấy_giờ đến bây_giờ , hơn sáu năm trời rồi",bấy_giờ bây_giờ hơn sáu năm
tập nhạc đặt dưới cuốn sách,cuốn sách tập nhạc dưới
còn hai bài kia thì sai,còn hai sai
có_tiếng đại_bác nổ ùng_oàng từ xa,xa có_tiếng đại_bác ùng_oàng
"nó chịu rồi , còn anh thì_có làm được không ạ",nó chịu rồi anh làm được
nó làm được thế_này đã là khá lắm rồi,nó làm được thế_này khá rồi
"khi xem hoa nở , khi chờ trăng lên",khi hoa nở xem khi trăng lên chờ
dù ai nói ngã nói nghiêng thì ta vẫn vững như kiềng ba chân,dù nói ngã nói nghiêng ta như kiềng ba chân
"ông Chưởng , phó của cha tôi , nay đã lên tướng",ông Chưởng phó cha tôi nay lên tướng
"yêu Bác , lòng ta trong sách hơn",Bác yêu lòng ta trong sách hơn
"sinh_bệnh đâu phải tại ăn , mà tại ăn nhiều quá đấy chứ",sinh_bệnh đâu phải tại ăn nhiều
cứ nói thế_thì nó khắc hiểu,cứ nói thế_thì nó khắc hiểu
chẳng thà ông ấy cứ nói_toẹt ra,chẳng thà ông ấy nói_toẹt ra
nước giềng này trong mà_lại gần nhà,nước giềng này trong gần nhà
họ đã bảo mà,họ bảo đã
Không làm thì không ăn đấy nhé,làm không thì ăn không
trong khoa còn có người khác biết đánh bóng_bàn,trong khoa người bóng_bàn đánh có
anh phê_bình hay mạt_sát tôi đấy,anh tôi phê_bình mạt_sát
đường_sá lầy_lội kinh người,đường_sá lầy_lội kinh
"trong thì ấm , ngoài thì êm",trong ấm ngoài êm
"nhân_dân như nước , bộ_đội như cá",nhân_dân nước bộ_đội cá
Việt_Minh mà lên được thì dân đỡ khổ ông nhỉ,Việt_Minh lên thì dân khổ đỡ
"nó giải được năm bài , thì ba bài đúng",nó bài năm ba đúng
Làm_sao mà trốn về được,trốn về Làm_sao
ra lấy áo_quần vào đi con,ra áo_quần lấy
"đừng xanh như lá , bạc như vôi",xanh như lá bạc như vôi đừng
mọi lí_thuyết đều xám,lí_thuyết mọi xám đều
nồi đồng nấu ốc,nồi đồng ốc nấu
"bói thì_ra ma , quét nhà thì_ra rác",bói thì_ra nhà quét rác thì_ra
lắm thầy rầy ma,thầy lắm ma rầy
loài thú ăn thịt cỡ lớn lông màu vàng có vằn đen là hổ,thú lớn lông màu vàng vằn đen thịt ăn là hổ
ông ấy làm_việc liên_tục suốt từ sáng đến chiều,ông ấy làm_việc sáng chiều liên_tục
"đèn đêm đã bật , sân_bay lại bắt_đầu làm_việc",đèn đêm bật sân_bay bắt_đầu làm_việc
"mây vàng thì gió , mây đỏ thì mưa",mây vàng gió mây đỏ mưa
anh Nam làm_việc thì chăm_chỉ,Nam làm_việc chăm_chỉ
thấy địch thì khai_triển đội_hình,địch thấy thì đội_hình khai_triển
"đứa bảo có , đứa bảo không , biết nghe đứa nào bây_giờ",đứa bảo có đứa bảo không nghe đứa nào
"văn_học nghệ_thuật là gì , xưa_nay người_ta đã định_nghĩa nhiều rồi",văn_học nghệ_thuật xưa_nay người_ta đã định_nghĩa
hòn đất mà biết nói_năng thì thầy_địa_lý hàm_răng không còn,đất nói_năng biết thầy_địa_lý hàm_răng còn không
không làm thì không ăn,làm không thì ăn không
chính anh làm hỏng việc chứ ai,anh làm hỏng
Mưa ướt hết bây_giờ,mưa ướt hết
con_trâu đi trước cái cày theo sau thì còn lạc_hậu,con_trâu đi trước cày sau thì lạc_hậu còn
mời ngồi xuống,mời ngồi
coi_chừng mất xe,xe mất coi_chừng
làm như_thế cũng được chứ sao,làm như_thế được chứ sao
tệ đến thế kia à,tệ thế
"nó có giận anh thật , nhưng không ghét anh đâu",anh nó giận có nhưng ghét không
tôi làm được,tôi được làm
hình_như anh hài_lòng lắm thì_phải,hình_như anh hài_lòng
tôi xin gửi các bạn lời chào thân_ái,tôi bạn gửi lời chào thân_ái
việc này không chóng thì chầy cũng sẽ đưa đến kết_quả xấu,việc này không chóng thì chầy kết_quả xấu
tệ đến thế kia à,tệ thế
"chiếc xe càng đến gần phố Hàng_Cót , Phượng càng hồi_hộp",xe đến gần phố Hàng_Cót Phượng hồi_hộp
sen xa hồ sen khô hồ cạn,hồ sen xa hồ cạn
cháu kén quá đấy,cháu kén quá
vì không ai nói_gì nên mọi người lãng dần,vì ai nói_gì không nên mọi người lãng dần
dẫn_đầu đội_hình là cờ và biểu_ngữ,đội_hình dẫn_đầu cờ biểu_ngữ
ông cho tôi xin tí lửa,ông lửa tôi xin
đẹp quá nhỉ,đẹp quá
"ngoài đình , trống lại thúc , mõ lại khua , tù_và rúc liên_thanh bất chỉ",ngoài đình trống thúc mõ khua tù_và liên_thanh rúc
"trong thì ấm , ngoài thì êm",trong ấm ngoài êm
xin đề_nghị các đồng_chí yên_lặng,xin đồng_chí đề_nghị yên_lặng
"nước ta là một , dân_tộc ta là một",nước một dân_tộc một
con mèo này không đẹp,con mèo này đẹp không
anh_ấy tôi đã ra_sức chiều_chuộng,anh_ấy tôi ra_sức chiều_chuộng
sáng_tạo là vấn_đề rất quan_trọng ; không sáng_tạo không làm cách_mạng được,sáng_tạo vấn_đề quan_trọng không sáng_tạo không làm cách_mạng được
hai người gặp nhau ở Yên_Bái,ở Yên_Bái hai người gặp
những_ai đã gặp anh,anh những_ai đã gặp
nếu thế_là tốt,nếu thế_là tốt
sông_cạn_đá_mòn anh vẫn thủy_chung,sông_cạn_đá_mòn anh thủy_chung vẫn
mà chàng quên chí cao vì sự_nghiệp,mà chàng sự_nghiệp chí cao vì
được tặng giải 1 một cậu_bé mười_hai tuổi,giải 1 cậu_bé mười_hai tuổi
"luật này , như ai_nấy đều biết , có một phạm_vi hiệu luật rất hẹp",ai_nấy đều biết luật này phạm_vi hiệu luật hẹp
ai chứ tôi thì tôi không biết,ai chứ tôi không biết
vì lợi_ích chung ông_ta đã xin từ_chức,vì lợi_ích chung ông_ta từ_chức xin
giáo_viên ăn quả cóc xanh,giáo_viên cóc xanh ăn
quý_vị ngồi xuống đi,quý_vị ngồi
"Lan ơi , mưa",Lan mưa
xấu chàng khổ ai,chàng xấu khổ ai
"chiếc xe càng đến gần phố Hàng_Cót , Phượng càng hồi_hộp",xe đến gần phố Hàng_Cót Phượng hồi_hộp
con Cún người_ta bắt mất rồi,cún người_ta bắt rồi
lần sau còn thể nữa thì tôi không để cho anh yên đâu,lần sau anh tôi để không yên
số tác_giả này nhận_định khác hẳn,tác_giả này nhận_định khác hẳn
món này ăn thì ngon làm thì tốn công,món này ngon ăn tốn công làm
nếu thế_thì tốt,nếu thế_thì tốt
sau đây là vài điểm cần nói rõ thêm,sau đây vài điểm nói rõ cần
ai về ai ở mặc ai,về ai ở ai mặc ai
Nam cho em bé cái kẹo,Nam em bé cho kẹo
ai làm cũng được,làm ai cũng được
Cụ Tú tóc bạc hết cả rồi,Cụ Tú tóc bạc hết
"chó treo , mèo đậy",chó treo mèo đậy
"rẻ thì_có rẻ , nhưng không đẹp",rẻ thì_có rẻ nhưng đẹp không
anh_ấy đã giết ông Ba,anh_ấy ông Ba giết
giáo_viên thích nho,giáo_viên nho thích
mày có câm cái mồm đi không,mày mồm câm
thấy địch khai_triển đội_hình,địch thấy đội_hình khai_triển
nó làm rách mất cái màn,nó cái màn làm rách
quả_tình là tôi có ý gì chê anh đâu,quả_tình tôi anh ý chê có
cái bông hoa này vẽ to quá,hoa này vẽ to
có_tiếng đại_bác nổ ùng_oàng từ xa,xa có_tiếng đại_bác ùng_oàng
"để nâng cao năng_suất , ta phải cải_tiến thao_tác",nâng cao năng_suất để ta cải_tiến thao_tác phải
cuốn sách đặt trên tập nhạc,tập nhạc cuốn sách trên
con mèo này không đẹp,con mèo này đẹp không
không ai nói_gì nhưng mọi người lảng dần ra,ai nói_gì không nhưng mọi người lảng dần
bói mà ra ma thì quét nhà ra rác,bói ma ra thì nhà quét rác
"ông Năm ấy mà , ông ấy tốt lắm",ông Năm tốt
nói vào_đề,nói vào_đề
nó hỏng kì thi này vì dốt,nó thi hỏng vì dốt
"tre , nứa , mai , vầu giúp người trăm_nghìn công_việc khác_nhau",tre nứa mai vầu người trăm_nghìn công_việc khác_nhau giúp
Gió chạy loạt_soạt trong cỏ,Gió loạt_soạt chạy trong cỏ
số tác_giả này nhận_định khác hẳn,tác_giả này nhận_định khác hẳn
ai đi ai về nó cũng chẳng để_ý,đi ai về ai nó chẳng để_ý
chìa_khóa này mở_cửa kho,chìa_khóa này kho mở_cửa
hổ là một loài thú ăn thịt,hổ thú ăn thịt
yêu là chết ở trong lòng một_ít,yêu trong lòng chết một_ít
mày có câm cái mồm đi không,mày mồm câm
hắn tức_khắc đến nhà đội Tảo,hắn nhà đội Tảo đến
tôi thì làm được,tôi làm được
người mà đến thế thì_thôi,người đến thì_thôi
em bé khóc,bé khóc
"gió thổi , mây bay",thổi gió bay mây
cấm hút thuốc_lá,thuốc_lá hút cấm
tôi chỉ thích đọc Nam_Cao,tôi Nam_Cao đọc thích
ăn nhiều quá thì mới sinh_bệnh chứ,ăn nhiều sinh_bệnh
may_vá học cũng không dễ,may_vá học dễ không
"liên_tục trong hai tuần qua , nhiều thương_lái thuê hàng chục lao_động từ các tỉnh phía Bắc vào xã Tịnh_Hà , huyện Sơn_Tịnh , nơi có hàng trăm hộc dân trồng chuối_lùn ven sông Trà KHúc , để mở đại_lý thu_mua chuối_lùn còn xanh xuất sang Trung_Quốc",tuần hai liên_tục thương_lái hục lao_động thuê từ các tỉnh phía Bắc vào Tịnh_Hà Sơn_Tịnh có hàng trăm hộc dân chuối_lùn trồng ven sông Trà KHúc đại_lý mở chuối_lùn còn xanh thu_mua xuất Trung_Quốc
cuốn Chí_Phèo ở dưới chồng tạp_chí,cuốn Chí_Phèo ở dưới tạp_chí
nước sôi rồi,nước sôi rồi
"đừng ra sân , ngoài ấy rét lắm",sân ra đừng ngoài ấy rét
con hãy ngừng ngay cái việc đáng đánh_đòn ấy,ngừng ngay việc đáng đánh_đòn
mọi người phải có_mặt lúc 6 giờ,mọi người giờ 6 có_mặt
bằng_lòng hay không thì cũng nói cho ngta biết,bằng_lòng hay không thì nói người_ta biết
mẹ cô ấy,cô ấy mẹ
tớ sẽ được điểm 10 về môn toán một_cách chắc_chắn,tớ toán điểm 10 được
khuya rồi,khuya rồi
tôi đã xem đội ta đấu với đội bạn,tôi xem đội ta đội bạn đấu
không ai nói_gì nên mọi người lảng dần ra,ai nói_gì không nên mọi người lảng dần
cuốn Chí_Phèo ở dưới chồng tạp_chí,cuốn Chí_Phèo ở dưới tạp_chí
dặn thế_nào thì làm thế_ấy,dặn thế_nào làm thế_ấy
tôi mời quý_vị an_tọa,quý_vị an_tọa mời
nói hỗn với mẹ là không được,hỗn mẹ được không
khi trời mưa tạnh thì sẽ có cầu vòng,khi mưa tạnh cầu vòng có
lá rụng trên thềm,trên thềm lá rụng
thấy địch khai_triển đội_hình,địch thấy đội_hình khai_triển
"ông Chưởng , phó của cha tôi , nay đã lên tướng",ông Chưởng phó cha tôi nay lên tướng
dặn thế_nào nó cũng quên,dặn thế_nào nó quên
"cán_bộ của Đảng , của Nhà_nước và của các đoàn_thể nhân_dân , đảng_viên và đoàn_viên thanh_niên lao_động cần phải xung_phong gương_mẫu trong sản_xuất và công_tác",cán_bộ Đảng Nhà_nước đoàn_thể nhân_dân đảng_viên và đoàn_viên thanh_niên lao_động gương_mẫu xung_phong trong sản_xuất và công_tác
bài này mà lạc_đề thì hỏng rồi,bài này lạc_đề thì hỏng
ở đâu chứ ở đây thì khỏi lo,ở đâu chứ ở đây lo khỏi
bao_giờ trời nổi can_qua,trời nổi can_qua
anh tệ lắm,anh tệ lắm
ở đây thì không tiện,ở đây tiện không
tôi sẽ thi_hành nhiệm_vụ - người chiến_sĩ nói,tôi nhiệm_vụ thi_hành chiến_sĩ nói
theo ý tôi thì nên làm ngay,theo tôi nên làm ngay
"bầu vừa rụng rốn , mướp ra hoa",bầu rốn rụng mướp hoa ra
chuyện này nghiêm_trọng đây,chuyện này nghiêm_trọng
"những chuyện vui , chuyện buồn , chuyện gia_đình , chuyện hàng_xóm , … kể mãi không hết",chuyện vui chuyện buồn chuyện gia_đình chuyện hàng_xóm kể mãi không hết
khi tàu chạy thì về,tàu chạy thì về
đầu_trò tiếp khách trầu_không có,đầu_trò khách tiếp trầu_không có
sen xa hồ sen khô hồ cạn,hồ sen xa hồ cạn
may_mà ta đã dự_liệu trước cả rồi,may_mà ta dự_liệu trước rồi
chưa nói đã cười là người vô_duyên,nói chưa cười đã người vô_duyên
trời lạnh mà ăn_mặc phong_phanh thế_này thì chưa bị cảm là may đấy,trời lạnh ăn_mặc phong_phanh cảm chưa may
sắp mưa rồi đấy,mưa sắp
anh_ấy đã giết ông Ba,anh_ấy ông Ba giết
nếu có giấy_mời thì anh hãy đi,nếu giấy_mời có anh đi hãy
xin các bạn giữ trật_tự,xin bạn trật_tự
Tính ông Cửu nhà tôi nhân lão tâm bất lão,tính ông Cửu tôi nhân lão tâm bất lão
muốn gì được nấy,muốn gì được nấy
mọi lí_thuyết đều xám,lí_thuyết mọi xám đều
chợ không họp vì không phải phiên,chợ không họp vì không phải phiên
bao_giờ đỗ trạng bấy_giờ cưới nhau,bao_giờ đỗ trạng bấy_giờ cưới
tôi không tiêu tiền_của ông Ba,tôi ông Ba tiêu tiền_của không
khi tàu chạy về,khi tàu về
cháu đã làm bài thi toán,cháu bài thi toán làm đã
"ao sâu nước cả , khôn chài cá",ao nước sâu khôn chài cá
cây gạo đầu làng bị sét đánh_đổi rồi,đầu làng cây gạo sét đánh_đổ
