Input,Output
quý_vị ngồi xuống đi,quý_vị ngồi
cậu thích chó hơn hay mèo hơn,cậu chó mèo thích hơn
thời_đại biến_đổi thì văn_học cũng biến_đổi,thời_đại biến_đổi văn_học biến_đổi
loài thú ăn thịt điển_hình là hổ,thú điển_hình thịt ăn là hổ
bấy_giờ là vào mùa mưa,bấy_giờ mùa mưa
khôn sống mống chết là một thực_tế xã_hội,khôn sống mống chết là xã_hội thực_tế
anh là tệ lắm,anh tệ lắm
"cải chửa ra cây , cà mới nụ",cải cây chửa ra cà nụ mới
nó làm hỏng bài tập_làm_văn vì không đọc kỹ đề_bài,nó tập_làm_văn làm hỏng vì đề_bài đọc không kỹ
thì_giờ là vàng_bạc,thì_giờ vàng_bạc
tôi chưa kịp chuẩn_bị thì nó đã đến,tôi chuẩn_bị chưa nó đến
ông mà nói gà thì bà lại nói vịt,gà ông nói thì vịt bà nói
trời thì mưa lâm_thâm,mưa lâm_thâm
liễu xa đào liễu ngả đào nghiêng,liễu đào xa liễu ngả đào nghiêng
tôi cấm đấy,tôi cấm
"thật vĩ_đại , người chiến_sĩ trong gian_khổ nghìn_trùng càng cao vời_vợi ý_chí diệt thù cứu nước",vĩ_đại chiến_sĩ trong gian_khổ nghìn_trùng cao vời_vợi ý_chí thù diệt nước cứu
đã bảo mà,bảo đã
tôi đã xem trận ấy,tôi trận ấy đã xem
"không ai nói_gì , mọi người lảng dần ra",ai nói_gì không mọi người lảng dần
đấm_đá như_thế cứ gọi_là tan xương,đấm_đá như_thế tan xương
ông bình bị anh tôi đánh,anh tôi Bình đánh
đã bảo mà,bảo đã
người đâu mà vô_tâm,người đâu mà vô_tâm
Lương bật đèn_pin nhìn đồng_hồ tay : hai giơ rưỡi sáng,Lương đèn_pin bật đồng_hồ tay nhìn giờ hai rưỡi sáng
"ở đây lúc này , trời sắp mưa",ở đây lúc này mưa sắp
nó hỏng kì thi này vì môn toán,nó toán thi hỏng
anh mời thì tôi đến,anh mời tôi đến
"nhằm thẳng quân_thù , bắn",nhằm quân_thù bắn
cô bé nhà bên ai_ngờ cũng là du_kích,cô bé nhà bên ai_ngờ là du_kích
"nóng quá , sắp mưa rồi",nóng quá mưa sắp
muốn nâng cao năng_suất thì ta phải cải_tiến thao_tác,nâng cao năng_suất muốn ta cải_tiến thao_tác phải
"dưới cờ Việt_Minh , đồng_bào hãy dũng_cảm tiến lên",dưới cờ Việt_Minh đồng_bào hãy dũng_cảm tiến lên
lạt buộc chặt,lạt buộc chặt
không chạy xe trong sân,trong sân chạy xe không
cơm đã dọn xong,cơm dọn xong
"để cho mẹ yên_tâm , cô thường viết thư cho mẹ",mẹ yên_tâm cô thường thư cho mẹ viết
bao_giờ đỗ trạng thì cưới,bao_giờ đỗ trạng thì cưới
em_gái tôi ít khi thăm_viếng họ_hàng,em_gái tôi họ_hàng thăm_viếng ít
người đâu mà vô_tâm,người đâu mà vô_tâm
em bé khóc,bé khóc
nó hỏng kì thi này vì lạc_đề,nó thi hỏng vì lạc_đề
con hãy ngừng ngay cái việc đáng đánh_đòn ấy,ngừng ngay việc đáng đánh_đòn
cuốn sách ấy đọc được đấy,cuốn sách ấy đọc được
họ đi bộ hôm_qua và hôm_kia,hôm_qua hôm_kia họ đi bộ
coi_chừng mất xe,xe mất coi_chừng
vào ngày chủ_nhật tôi chỉ nghe nhạc,chủ_nhật tôi nhạc nghe
thấy địch thì khai_triển đội_hình,địch thấy thì đội_hình khai_triển
"nỗi_niềm xưa , nghĩ mà thương",nỗi_niềm xưa thương nghĩ
nó hỏng kì thi này vì lạc_đề,nó thi hỏng vì lạc_đề
sách hay người_ta mới thích đọc,sách hay người_ta đọc thích
mà chàng quên chí cao vì sự_nghiệp,mà chàng sự_nghiệp chí cao vì
trời thì mưa lâm_thâm,mưa lâm_thâm
"nhân_dân như nước , bộ_đội như cá",nhân_dân nước bộ_đội cá
tôi đã xem đội ta đấu với đội bạn,tôi xem đội ta đội bạn đấu
nó rất sợ rắn,rắn nó sợ
"ông nói gà , bà nói vịt",gà ông nói vịt bà nói
"văn_học nghệ_thuật là gì , xưa_nay người_ta đã định_nghĩa nhiều rồi",văn_học nghệ_thuật xưa_nay người_ta đã định_nghĩa
hòn đất mà biết nói_năng thì thầy_địa_lý hàm_răng không còn,đất nói_năng biết thầy_địa_lý hàm_răng còn không
"nhiều bướm quá , có con đẹp quá kìa",bướm nhiều có con đẹp quá
bài này giải rất dễ,bài này giải dễ
"nhà_nước của chúng_ta thật_sự dân_chủ , vì nhà_nước đó thực_sự là của dân , sứ_mạng lịch_sử của nó là huy_động lực_lượng của nhân_dân để xây_dựng xã_hội mới , đời_sống mới , con_người mới",nhà_nước dân_chủ nhà_nước của dân lực_lượng nhân_dân huy_động xã_hội mới xây_dựng đời_sống mới con_người mới
hình_như anh hài_lòng lắm thì_phải,hình_như anh hài_lòng
"đừng xanh như lá , bạc như vôi",xanh như lá bạc như vôi đừng
may_vá có khó thì mới_phải học,may_vá khó thì mới_phải học
"sau trúc , ô_kìa",trúc sau ô_kìa
mai đi thì muộn,mai đi muộn thì
còn con Cún đâu rồi,Cún đâu
đi đâu_đấy,đi đâu_đấy
Mưa ướt hết bây_giờ,mưa ướt hết
nhưng ai biết mà sợ,biết ai mà sợ
"thế_mà quả thị , lạ thay , vẫn không rơi xuống",thế_mà quả thị rơi xuống không lạ
cuốn truyện này rất hay,cuốn truyện này hay
thì_giờ là vàng_bạc,thì_giờ vàng_bạc
ông_cụ yếu đi thì đáng lo,ông_cụ yếu lo
tổ_quốc có bao_giờ đẹp thế_này chăng,tổ_quốc có bao_giờ đẹp thế_này chăng
"lá ơi , đừng rụng nữa",lá ơi rụng đừng
thấy địch thì khai_triển đội_hình,địch thấy thì đội_hình khai_triển
"ô_hay , con làm_gì",ô_hay con làm_gì
đấm_đá như_thế cứ gọi_là tan xương,đấm_đá như_thế tan xương
sao anh lại nói thế,anh nói sao
con phải cất áo_quần vào kẻo mưa đến_nơi rồi đấy,con áo_quần cất mưa
ông mà nói gà thì bà lại nói vịt,gà ông nói thì vịt bà nói
"ông thì nói gà , bà thì nói vịt",gà ông nói vịt bà nói
ai thích nho,nho thích ai
người vẽ bức này là ông Đức,người bức này vẽ là Đức
Phải làm thế_nào,làm thế_nào
sao anh nỡ làm thế,anh làm thế sao nỡ
giờ ngủ thì các cháu im_lặng,giờ ngủ cháu im_lặng
cái đó chỉ là liều thuốc an_thần thôi,thuốc an_thần thôi
mai muốn kịp thì đi máy_bay,mai kịp muốn máy_bay
tôi xin cảm_ơn,tôi cảm_ơn
Thúy đã làm được Toán lớp 7 khi đang còn học lớp 6,khi học lớp 6 Thúy Toán lớp 7 làm được
khi tàu chạy về,khi tàu về
lúc này gạo_châu_củi_quế,lúc này gạo_châu_củi_quế
"từ bấy_giờ đến bây_giờ , hơn sáu năm trời rồi",bấy_giờ bây_giờ hơn sáu năm
gió không nên mở tung cửa_sổ,cửa_sổ gió mở không nên
có đau không,đau có
"càng chiến_đấu oanh_liệt , càng thắng_lợi giòn_giã , càng sản_xuất càng xây_dựng khỏe bao_nhiêu , nhân_dân ta càng yêu_quý văn_nghệ bấy_nhiêu , bởi_vì văn_nghệ là tinh_hoa của cuộc_sống , là một sức_mạnh , là một vũ_khí chiến_đấu và để chiến_thắng",oanh_liệt chiến_đấu giòn_giã thắng_lợi sản_xuất xây_dựng khỏe nhân_dân văn_nghệ yêu_quý bởi_vì văn_nghệ tinh_hoa cuộc_sống là sức_mạnh vũ_khí chiến_đấu chiến_thắng
"dưới cờ Việt_Minh , đồng_bào hãy dũng_cảm tiến lên",dưới cờ Việt_Minh đồng_bào hãy dũng_cảm tiến lên
"lá ơi , đừng rụng nữa",lá ơi rụng đừng
"bác đến chơi đây , ta với ta",bác đến chơi đây ta với ta
quá trưa mà khách vẫn chưa đến,trưa khách đến chưa
giờ ngủ thì các cháu im_lặng,giờ ngủ cháu im_lặng
"tuy mới học lớp 6 , Thúy đã làm được Toán lớp 7",tuy học lớp 6 mới Thúy Toán lớp 7 làm được
không làm thì không ăn,làm không thì ăn không
đội ta e thua mất,đội ta thua mất
giáo_viên đã ăn mấy quả nho,giáo_viên nho ăn mấy
cây gạo đầu làng bị sét đánh_đổi rồi,đầu làng cây gạo sét đánh_đổ
Nam thì tôi tin chắc là sẽ trúng_cử,tôi tin Nam trúng_cử chắc
mọi người đi rồi chỉ còn thằng bé Tun ở nhà,người đi chỉ còn thằng bé Tun nhà ở
xin các bạn giữ trật_tự,xin bạn trật_tự
"mây ơi , hãy ngừng trôi",mây trôi hãy ngừng
"bác đến chơi đây , ta với ta",bác đến chơi đây ta với ta
"mặc_dù vậy đối_với gia_đình vợ , Thứ vẫn cố_ý không thân_mật lắm",đối_với gia_đình vợ Thứ thân_mật cố_ý không
những người đã được gặp Hồ_Chủ_Tịch,Hồ_Chủ_Tịch những người gặp được
cha nào cũng mong con ngoan,cha nào mong con ngoan
cần gì ? nói ngay đi,cần gì ? nói
Nam là học_sinh giỏi,Nam học_sinh giỏi
còn hai bài kia thì sai,còn hai sai
"nước reo quanh chân lúa , lúa rung lên , lòng người cũng rung lên",nước quanh chân lúa reo lúa rung lòng người rung
khi trời mưa tạnh thì sẽ có cầu vòng,khi mưa tạnh cầu vòng có
nó làm rách cái màn mất,nó cái màn làm rách
anh_ta có tài mà chẳng có đức,anh_ta tài có đức chẳng có
"cằm ông bạnh ra , mắt ông trợn_trừng , cả người ông như một pho tượng bằng đồng_đen cuồn_cuộn những bắp_thịt",cằm ông bạnh ra mắt trợn_trừng cả người pho tượng bằng đồng_đen cuồn_cuộn bắp_thịt
khôn sống mống chết là một thực_tế xã_hội,khôn sống mống chết là xã_hội thực_tế
việc này khó lắm đấy,việc này khó lắm đấy
lúc ấy có_thể nghe thấy một cái tác rất kêu,lúc ấy tát nghe
nhỡ sẩy chân một cái thì khốn,nhỡ sẩy chân thì khốn
khôn sống mống chết là một thực_tế xã_hội,khôn sống mống chết là xã_hội thực_tế
tuy không ai nói_gì nhưng mọi người lãng dần ra,tuy ai nói_gì không nhưng mọi người lãng dần
ai làm_việc này,làm_việc này ai
"bỗng gặp người , lưng ngựa đèo cao",người gặp bỗng ngựa lưng đèo cao
tôi làm được,tôi được làm
"cần gì , nói ngay đi",cần nói
"không làm , không ăn",làm không ăn không
"bà ấy đánh con chó dữ quá , làm như_thế không có tác_dụng giáo_dục",bà ấy chó đánh quá như_thế tác_dụng không có
tham thì thâm,tham thâm thì
có một người thì làm không xuể,người một làm xuể không
giếng nước này trong mà_lại gần nhà,giếng này nước trong gần nhà
"nói_tóm_lại , mỗi cán_bộ , mỗi hội_viên phải học lí_luận , phải đem lí_luận áp_dụng vào thực_tế",nói_tóm_lại cán_bộ hội_viên lí_luận phải học lí_luận phải đem thực_tế áp_dụng
anh Nam làm_việc thì chăm_chỉ,Nam làm_việc chăm_chỉ
quan biết thì nó chết,quan biết nó chết
"vâng , mời bà cứ ngồi chơi thư_thả xơi nước , xơi trầu đã",mời bà ngồi chơi nước xơi trầu xơi
đi thi mà chủ_quan thì rất dễ trượt,thi chủ_quan trượt dễ
con Cún thì người_ta bắt mất rồi,Cún người_ta bắt rồi
ông có diêm không,ông diêm có
"ngoài kia tiếng gõ_cửa mạnh bao_nhiêu , trong này trống_ngực tôi mạnh bấy_nhiêu",ngoài kia tiếng gõ_cửa mạnh bao_nhiêu trong này trống_ngực tôi mạnh bấy_nhiêu
cái bông hoa này vẽ to quá,hoa này vẽ to
phải tôn_trọng và giúp_đỡ người già_cả và phụ_nữ có_thai,tôn_trọng giúp_đỡ người già_cả phụ_nữ có_thai phải
"tuy_vậy , làm thơ không phải dễ",tuy_vậy làm thơ không phải dễ
mỗi người một vẻ,mỗi người một vẻ
bước làm_sao được với chồng sách ôm trên tay thế kia,bước làm_sao với sách tay ôm thế kia
loài thú ăn thịt khó săn là hổ,thú thịt ăn săn khó là hổ
tuy không ai nói_gì nhưng mọi người lãng dần ra,tuy ai nói_gì không nhưng mọi người lãng dần
"ôi , cảnh ly_biệt mà_sao buồn vậy",ly_biệt mà_sao buồn
mọi người đứng_dậy,mọi người đứng_dậy
nó chê cấm là nó ốm đấy,nó cấm chê nó ốm đấy
"vào đâu tre cũng sống , ở đâu tre cũng xanh tốt",vào đâu tre sống đâu tre xanh tốt
cháu kén quá đấy,cháu kén quá
Không_khí êm_ả và trong_sạch,Không_khí êm_ả trong_sạch
còn bạc còn tiền còn đệ_tử,bạc còn tiền còn đệ_tử còn
ăn nhiều quá thì mới sinh_bệnh chứ,ăn nhiều sinh_bệnh
mọi lí_thuyết đều xám,lí_thuyết mọi xám đều
"trẻ thời đi vắng , chợ thời xa",trẻ thời đi vắng chợ thời xa
thế có khổ không,thế khổ có
"mềm nắn , rắn buông",mềm nắn rắn vuông
anh chỉ phải đợi ba_tháng nữa_là cùng,anh đợi ba_tháng
giai_cấp nào nắm quyền_sở_hữu về tư_liệu_sản_xuất thì giai_cấp đó là giai_cấp thống_trị,giai_cấp quyền_sở_hữu tư_liệu_sản_xuất nắm giai_cấp thống_trị
Cụ Tú tóc bạc hết cả rồi,Cụ Tú tóc bạc hết
người là hoa đất,người hoa đất
điều anh vừa nói ấy tôi biết rồi,điều anh vừa nói tôi biết
cuốn truyện này không hay,cuốn truyện này hay không
"ở đây lúc này , trời nóng quá",ở đây lúc này nóng quá
anh đau lắm à,anh đau
"mây ơi , hãy ngừng trôi",mây trôi hãy ngừng
tuy miệng cười_nói vậy_mà bụng ông cũng rối_bời lên,miệng cười_nói vậy_mà bụng ông rối_bời
"ôi , cảnh ly_biệt mà_sao buồn vậy",ly_biệt mà_sao buồn
trên cùng là tượng phật,trên cùng tượng phật
"hễ tôi hơi động vào mình nó , nó lại lè lưỡi ra y_như thường_ngày",tôi hơi động nó nó lè lưỡi
còn con Cún đâu rồi,Cún đâu
không làm thì không ăn,làm không thì ăn không
"bói thì_ra ma , quét nhà thì_ra rác",bói thì_ra nhà quét rác thì_ra
đáng tiếc thật,thật tiếc
nó hỏng kì thi này vì đề thi khó quá,nó thi hỏng vì đề khó
ta phải cải_tiến thao_tác để nâng cao năng_suất,ta cải_tiến thao_tác phải để nâng cao năng_suất
"em đã sống , bởi_vì em chiến thắng",em sống bởi_vì em chiến thắng
đấm_đá như_thế cứ gọi_là tan xương,đấm_đá như_thế tan xương
có_tiếng đại_bác nổ ùng_oàng từ xa,xa có_tiếng đại_bác ùng_oàng
sách mà hay thì ai cũng thích đọc,sách hay thì ai đọc thích
có những mười người vắng_mặt,có người mười vắng_mặt
mình đọc hay tôi đọc,mình đọc hay tôi đọc
"công_việc ư , thì tôi vẫn quan_tâm đấy chứ",công_việc thì tôi vẫn quan_tâm
"cá cả , lợn lớn",cá cả lợn lớn
nho xanh,nho xanh
thanh này không dài bằng thanh kia,thanh này thanh kia không dài bằng
nó cấm anh à,nó anh cấm
mẹ đi Hà_Nội chưa,mẹ Hà_Nội đi chưa
đang học lớp 6 mà Thúy đã làm được Toán lớp 7,lớp 6 học đang mà Thúy Toán lớp 7 làm được
một cái tát rất kêu,một tát rất kêu
cấm hút thuốc_lá,thuốc_lá hút cấm
không chạy xe trong sân,trong sân chạy xe không
"miễn_là đứng trên lập_trường tư_tưởng đại_chúng nhân_dân mà giải_quyết thì ta vẫn có_thể vận_dụng mọi hình_thức , ta vẫn hết_sức tự_do trong sự lựa_chọn đề_tài",trên lập_trường tư_tưởng đại_chúng nhân_dân mà giải_quyết thì ta hình_thức vận_dụng ta tự_do lựa_chọn đề_tài
không ai nói_gì nên mọi người lảng dần ra,ai nói_gì không nên mọi người lảng dần
"cần gì , nói ngay đi",cần nói
Biết_bao_nhiêu là sự đổi_thay,Biết_bao_nhiêu là đổi_thay
nấu ếch thì_phải nồi đất,ếch nồi đất nấu
cái này giá chỉ năm ngàn thì nhiều,cái này giá chỉ năm ngàn
ông bình bị anh tôi đánh,anh tôi Bình đánh
"mưa trắng , nắng đen",mưa trắng nắng đen
bây_giờ mà đi bộ thì không kịp,bây_giờ đi bộ không kịp
tai_nạn xảy_ra là vì người lái_xe say rượu,xảy_ra tai_nạn vì người lái_xe rượu say
"em ơi , buồn làm_chi",em buồn làm_chi
tôi gửi các bạn lời chào thân_ái,tôi bạn gửi lời chào thân_ái
"trong cuộc họp , tôi đã nêu câu_hỏi ấy lên , câu_hỏi quan_trọng nhất",trong cuộc họp tôi đã câu_hỏi nêu nhất quan_trọng
"mặc_dù vậy đối_với gia_đình vợ , Thứ vẫn cố_ý không thân_mật lắm",đối_với gia_đình vợ Thứ thân_mật cố_ý không
bức này màu không đẹp,bức này màu đẹp không
làm_sao cho khỏi ướt,ướt làm_sao
"mây ơi , hãy ngừng trôi",mây trôi hãy ngừng
"cái cảnh trăng_tròn , gió mát , hồ lặng , trời xanh của trung_thu , lại làm cho các cháu vui_cười hớn_hở",trăng_tròn gió mát hồ lặng trời xanh trung_thu các cháu vui_cười hớn_hở
"anh có biết ông ấy không , ông Văn ấy mà",anh ông ấy biết Văn
"thế_mà quả thị , lạ thay , vẫn không rơi xuống",thế_mà quả thị rơi xuống không lạ
điều ấy tôi biết rồi,điều ấy tôi biết rồi
thế_thì tốt,thế_thì tốt
tiếng ùng_oàng của đại_bác nghe thưa dần,tiếng đại_bác ùng_oàng nghe thưa dần
công_việc đang bộn_bề,công_việc bộn_bề
người_ta đã yêu_mến anh là vì_thế,người_ta anh yêu_mến
ở đây vui quá nhỉ,ở đây vui quá
bao_giờ trời nổi can_qua,trời nổi can_qua
anh mời tôi đến,anh mời tôi đến
Nam có_thể sẽ trúng_cử,có_thể Nam trúng_cử sẽ
dưa_hấu và chuối có cách ăn khác_nhau,dưa_hấu chuối ăn khác_nhau
Phải tăng_gia_sản_xuất,tăng_gia_sản_xuất Phải
nước sôi rồi,nước sôi rồi
điều anh vừa nói ấy tôi biết rồi,điều anh vừa nói tôi biết
anh Nam làm_việc chăm_chỉ,Nam làm_việc chăm_chỉ
"bà ấy đánh con chó dữ quá , làm như_thế không có tác_dụng giáo_dục",bà ấy chó đánh quá như_thế tác_dụng không có
vì lợi_ích chung ông_ta đã xin từ_chức,vì lợi_ích chung ông_ta từ_chức xin
thanh này ngắn hơn thanh kia,thanh này thanh kia ngắn hơn
ở đời quý nhất chữ_nhân,ở đời chữ_nhân quý
lúc ấy có_thể nghe thấy một cái tác rất kêu,lúc ấy tát nghe
tớ sẽ được điểm 10 về môn toán một_cách chắc_chắn,tớ toán điểm 10 được
Nam lau bàn,Nam bàn lau
đáng tiếc thật,thật tiếc
cuốn truyện này không hay lắm,cuốn truyện này hay không
nó phải giải nhiều bài,nó nhiều bài phải giải
"ông nói gà , bà nói vịt",gà ông nói vịt bà nói
muốn gì thì đã được rồi,muốn gì thì được rồi
"lúc bà trở_dạ , dông_bão nỗi lên ầm_ầm",lúc bà trở_dạ dông_bão ầm_ầm
"nó làm ra_vẻ ngạc_nhiên , không hề biết gì",nó ngạc_nhiên biết không gì
Nam là học_sinh giỏi,Nam học_sinh giỏi
đi đâu_đấy,đi đâu_đấy
Việt_Minh mà lên được thì dân đỡ khổ ông nhỉ,Việt_Minh lên thì dân khổ đỡ
"tôi không muốn đi , vả_lại đã muộn rồi",tôi đi không muốn vả_lại muộn rồi
đã bấy_lâu_nay bác tới nhà,đã bấy_lâu_nay bác tới nhà
người mà khó_tính thì chẳng ai ưa,người khó_tính ưa chẳng
"nước reo quanh chân lúa , lúa rung lên , lòng người cũng rung lên",nước quanh chân lúa reo lúa rung lòng người rung
tuy rất đẹp nhưng mùa nào thức ấy,tđẹp nhưng mùa nào thức ấy
tôi không dính vào việc này,tôi dính không vào
tôi đã ra_sức chiều_chuộng anh_ấy mà vẫn kêu là mình bi bạc_đãi,tôi anh_ấy ra_sức chiều_chuộng mà mình bi bạc_đãi kêu
vì_thế là nhiều đối_với cháu,vì_thế đối_với cháu nhiều
phải tôn_trọng và giúp_đỡ người già_cả và phụ_nữ có_thai,tôn_trọng giúp_đỡ người già_cả phụ_nữ có_thai phải
"đợi A_Phủ nói xong với vợ , anh Liên thân_mật hỏi : Tây bắt A_Phủ mấy hôm",A_Phủ nói xong Liên thân_mật hỏi Tây A_Phủ bắt hôm mấy
họ đã bảo mà,họ bảo đã
trời sắp mưa đến_nơi rồi kìa,mưa sắp
tôi đã cấm anh kia rồi mà,tôi anh cấm
"tiếng đấm , tiếng đá nhau bình_bịch",đấm đá tiếng bình_bịch
việc này khó lắm đấy,việc này khó lắm đấy
tôi cố nói rất tự_nhiên để anh không một_chút nghi_ngờ,tôi tự_nhiên nói anh không một_chút nghi_ngờ
tôi ăn sáng lúc 6 giờ,tôi sáng ăn giờ 6
anh thích nhất kẹo chanh,anh kẹo chanh thích nhất
chắc_chắn là Nam sẽ trúng_cử,chắc_chắn Nam trúng_cử sẽ
suốt hai ngày đi bộ,hai ngày đi bộ
nó chê cấm là nó ốm đấy,nó cấm chê nó ốm đấy
"ai chứ , anh Ba thì khỏi phải giới_thiệu",giới_thiệu Ba phải khỏi
chuyện này nghiêm_trọng đây,chuyện này nghiêm_trọng
"nói đoạn , Ngũ_Viên liền đăm cổ tự_sát",đoạn nói Ngũ_Viên đăm cổ tự_sát
Hà_Nội thủ_đô nước ta,Hà_Nội thủ_đô nước ta
"cải chửa ra cây , cà mới nụ",cải cây chửa ra cà nụ mới
anh_ấy đã lấy tiền ông Ba,ông Ba anh_ấy lấy tiền
hãy tươi mãi màu xanh_tươi ánh thép,màu xanh_tươi tươi mãi ánh thép hãy
anh nói sao cũng được,anh nói sao được
chìa_khóa này không mở được cửa,chìa_khóa này cửa mở không được
"bác đến chơi đây , ta với ta",bác đến chơi đây ta với ta
chỉ còn hai bát cơm trong nồi,hai bát cơm nồi chỉ còn
mình em nấy nướng thì không kịp,em ấy nướng không kịp
trong phích có nước sôi đấy,phích nước sôi có
"rẻ thì_có rẻ , nhưng không đẹp",rẻ thì_có rẻ nhưng đẹp không
"gió thổi , mây bay",thổi gió bay mây
sông_cạn_đá_mòn anh vẫn thủy_chung,sông_cạn_đá_mòn anh thủy_chung vẫn
anh_ấy đã lấy tiền ông Ba,ông Ba anh_ấy lấy tiền
cậu Vàng đi_đời rồi ông giáo ạ,ông giáo cậu Vàng đi_đời rồi
sách hay người_ta mới thích đọc,sách hay người_ta đọc thích
vì lợi_ích chung ông_ta đã xin từ_chức,vì lợi_ích chung ông_ta từ_chức xin
